Record Number,Type,Address,Date Opened,Status
PCUP25-010,Conditional Use Permit,"9309 E RIVERSIDE DR, ONTARIO CA 91761",5/2/2025,Under Review
PPA25-0149,Planning Pre-Application,"2060 S WINEVILLE AV, SUITE 1-A, ONTARIO CA 91761",5/2/2025,Complete
PPA25-0148,Planning Pre-Application,"9309 E RIVERSIDE DR, ONTARIO CA 91761",5/2/2025,Complete
25TMP-003803,Planning Pre-Application,,5/1/2025,
PHP-25-011,Historical Preservation,"125 N VINE AV, ONTARIO CA 91762",5/1/2025,Approved Final
PGPA25-003,General Plan Amendment,"2200 E PHILADELPHIA ST, BLDG 1, ONTARIO CA 91761",5/1/2025,Active
PTUP25-027,Temporary Use Permit,215 E C ST,4/30/2025,Approved
PPA25-0147,Planning Pre-Application,"315 E FOURTH ST, ONTARIO CA 91764",4/30/2025,Complete
PPA25-0146,Planning Pre-Application,"443 N BEGONIA AV, ONTARIO CA 91762",4/30/2025,Withdrawn
PPA25-0145,Planning Pre-Application,"1630 E SHEARWATER ST, ONTARIO CA 91761",4/29/2025,Withdrawn
PTUP25-026,Temporary Use Permit,"225 S EUCLID AV, ONTARIO CA 91761",4/28/2025,Approved
PSGP25-006,Sign Program,"1630 E SHEARWATER ST, ONTARIO CA 91761",4/28/2025,Void
PHP-25-010,Historical Preservation,"140 N CAMPUS AV, SUITE B, ONTARIO CA 91761",4/28/2025,Active
PSGN25-052,Sign Permit,"1630 E SHEARWATER ST, ONTARIO CA 91761",4/28/2025,Approved Final
PSGN25-051,Sign Permit,"4495 E WALL ST, SUITE 2-101, Ontario CA 91761",4/25/2025,Approved Final
PPA25-0144,Planning Pre-Application,"4495 E WALL ST, SUITE 2-101, Ontario CA 91761",4/25/2025,Complete
PPA25-0143,Planning Pre-Application,"1220 E SIXTH ST, BLDG 1, Ontario CA 91764",4/25/2025,Resubmittal Required
25TMP-003567,Planning Pre-Application,"140 N CAMPUS AV, SUITE A, ONTARIO CA 91761",4/24/2025,
25TMP-003613,Planning Pre-Application,United States,4/24/2025,
25TMP-003574,Planning Pre-Application,,4/24/2025,
25TMP-003612,Planning Pre-Application,,4/24/2025,
PTUP25-025,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",4/24/2025,Approved
PCUP25-009,Conditional Use Permit,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",4/24/2025,Scheduled for ZA Hearing
PPA25-0142,Planning Pre-Application,"140 N CAMPUS AV, SUITE B, ONTARIO CA 91761",4/24/2025,Complete
PSGN25-050,Sign Permit,"980 N ONTARIO MILLS DR, SUITE 1-A, ONTARIO CA 91764",4/23/2025,Approved Final
PSGN25-049,Sign Permit,"727 N EUCLID AV, BLDG 1, ONTARIO CA 91762",4/23/2025,Active
PSGN25-048,Sign Permit,"765 N MILLIKEN AV, SUITE B, ONTARIO CA 91764",4/23/2025,Out to Applicant
PPA25-0141,Planning Pre-Application,"125 N VINE AV, ONTARIO CA 91762",4/23/2025,Complete
PTUP25-024,Temporary Use Permit,"704 E E ST, ONTARIO CA 91764",4/22/2025,Approved
PPA25-0140,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",4/22/2025,Complete
PPA25-0139,Planning Pre-Application,"727 N EUCLID AV, BLDG 1, ONTARIO CA 91762",4/22/2025,Complete
PPA25-0138,Planning Pre-Application,"765 N MILLIKEN AV, SUITE B, ONTARIO CA 91764",4/22/2025,Complete
PPA25-0137,Planning Pre-Application,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",4/21/2025,Complete
PUD-25-002,Planning Unit Development,"320 E D ST, ONTARIO CA 91764",4/18/2025,Under Review
PCUP25-008,Conditional Use Permit,"320 E D ST, ONTARIO CA 91764",4/18/2025,Under Review
PSGN25-047,Sign Permit,"1630 E FOURTH ST, SUITE 1-M, ONTARIO CA 91764",4/17/2025,Approved Final
PCUP25-007,Conditional Use Permit,"13715 N BON VIEW AV, ONTARIO CA 91761",4/17/2025,Out to Applicant
25TMP-003297,Planning Pre-Application,,4/16/2025,
PPA25-0136,Planning Pre-Application,"1630 E FOURTH ST, SUITE 1-M, ONTARIO CA 91764",4/16/2025,Complete
PPA25-0135,Planning Pre-Application,"1630 E SHEARWATER ST, ONTARIO CA 91761",4/16/2025,Complete
25TMP-003277,Planning Pre-Application,,4/15/2025,
PSGN25-046,Sign Permit,"1520 N MOUNTAIN AV, SUITE F-127, ONTARIO CA 91762",4/15/2025,Approved Final
PSGN25-045,Sign Permit,"1520 N MOUNTAIN AV, SUITE A-104, ONTARIO CA 91762",4/15/2025,Approved Final
PPA25-0134,Planning Pre-Application,"1333 N MOUNTAIN AV, Ontario CA 91762",4/15/2025,Withdrawn
PHP-25-009,Historical Preservation,"116 E B ST, ONTARIO CA 91761",4/14/2025,Under Review
PSTRP25-006,Short Term Rental License,2614 S GARFIELD AV,4/14/2025,Additional Info Req'd
PPA25-0133,Planning Pre-Application,"1520 N MOUNTAIN AV, SUITE F-127, ONTARIO CA 91762",4/14/2025,Complete
PPA25-0132,Planning Pre-Application,"1520 N MOUNTAIN AV, SUITE A-104, ONTARIO CA 91762",4/14/2025,Complete
PHP-25-008,Historical Preservation,,4/11/2025,Active
PPA25-0131,Planning Pre-Application,"116 E B ST, ONTARIO CA 91761",4/11/2025,Complete
PPA25-0130,Planning Pre-Application,"0 S SUMNER AV, ONTARIO CA 91762",4/11/2025,Resubmittal Required
PTUP25-023,Temporary Use Permit,"1130 S CAMPUS AV, ONTARIO CA 91761",4/10/2025,Approved
PHP-25-007,Historical Preservation,"526 E G ST, ONTARIO CA 91764",4/10/2025,Approved Final
25TMP-003099,Planning Pre-Application,"151 Mountain AV, BLDG, Ontario CA United States",4/9/2025,
PTUP25-022,Temporary Use Permit,"0 E EUCALYPTUS AV, Ontario CA 91762",4/9/2025,Active
PSPA25-002,Specific Plan Amendment,"0 S SUMNER AV, ONTARIO CA 91762",4/9/2025,Under Review
PSGN25-044,Sign Permit,"1520 N MOUNTAIN AV, SUITE A-101, ONTARIO CA 91762",4/9/2025,Approved Final
PSGN25-043,Sign Permit,"3611 E GUASTI RD, Ontario CA 91761",4/9/2025,Approved
PDET25-001,Determination of Use,"1425 S TOYOTA WY, ONTARIO CA 91761",4/9/2025,Under Review
PPA25-0129,Planning Pre-Application,"4902 S BAKER AV, ONTARIO CA 91762",4/9/2025,Withdrawn
PPA25-0128,Planning Pre-Application,"905 S GROVE AV, ONTARIO CA 91761",4/9/2025,Resubmittal Required
PPA25-0127,Planning Pre-Application,"0 E EUCALYPTUS AV, Ontario CA 91762",4/9/2025,Complete
PWIL25-001,Williamson Act,"13948 S WALKER AV, ONTARIO CA 91761",4/8/2025,Active
PVER25-019,Zoning Verification Letter,520 S MOUNTAIN AV,4/8/2025,Approved
PMTT25-004,Parcel Tract Map,"206 W D ST, ONTARIO CA 91762",4/8/2025,Under Review
PHP-25-006,Historical Preservation,"206 W D ST, ONTARIO CA 91762",4/8/2025,Under Review
PDEV25-006,Development Plan,"206 W D ST, ONTARIO CA 91762",4/8/2025,Under Review
PPA25-0126,Planning Pre-Application,"14535 S HAVEN AV, ONTARIO CA 91762",4/8/2025,Complete
PPA25-0125,Planning Pre-Application,"1425 S TOYOTA WY, ONTARIO CA 91761",4/8/2025,Complete
PPA25-0124,Planning Pre-Application,United States,4/8/2025,Complete
25TMP-002975,Planning Pre-Application,,4/7/2025,
PSGP25-005,Sign Program,"130 W G ST, ONTARIO CA 91762",4/7/2025,Void
PSGN25-042,Sign Permit,"130 W G ST, ONTARIO CA 91762",4/7/2025,Approved Final
PAUP25-004,Administrative Use Permit,"105 N EUCLID AV, ONTARIO CA 91762",4/7/2025,Approved Final
PSGP25-004,Sign Program,"320 N EUCLID AV, ONTARIO CA 91764",4/3/2025,Under Review
PSGN25-041,Sign Permit,"2529 S EUCLID AV, BLDG 1, ONTARIO CA 91761",4/3/2025,Approved Final
PCUP25-006,Conditional Use Permit,"730 N MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",4/3/2025,Out to Applicant
PPA25-0123,Planning Pre-Application,"320 N EUCLID AV, ONTARIO CA 91764",4/2/2025,Complete
PSTRP25-005,Short Term Rental License,"1114 S MAGNOLIA AV, BLDG A, ONTARIO CA 91762",4/2/2025,Issued
PPA25-0122,Planning Pre-Application,"14717 S HAVEN AV, ONTARIO CA 91762",4/2/2025,Complete
PZC-25-002,Zone Change,,4/1/2025,Active
PSGN25-040,Sign Permit,"5691 E PHILADELPHIA ST, B, ONTARIO CA 91761",4/1/2025,Active
PGPA25-002,General Plan Amendment,,4/1/2025,Active
PGPA25-001,General Plan Amendment,,4/1/2025,Active
PPA25-0121,Planning Pre-Application,"2529 S EUCLID AV, BLDG 1, ONTARIO CA 91761",4/1/2025,Complete
PPA25-0120,Planning Pre-Application,"2055 S FERN AV, ONTARIO CA 91762",4/1/2025,Withdrawn
25TMP-002776,Short Term Rental License,"644 E NOCTA ST, SUITE A, ONTARIO CA 91761",3/31/2025,
PSTRP25-004,Short Term Rental License,"1517 N AMADOR AV, ONTARIO CA 91764",3/31/2025,Issued
PPA25-0119,Planning Pre-Application,"1245 S GROVE AV, ONTARIO CA 91761",3/31/2025,Withdrawn
PPA25-0118,Planning Pre-Application,"206 W D ST, ONTARIO CA 91762",3/31/2025,Complete
PPA25-0117,Planning Pre-Application,"3639 E GUASTI RD, ONTARIO CA 91761",3/31/2025,Withdrawn
PPA25-0116,Planning Pre-Application,"791 N MILLIKEN AV, ONTARIO CA 91764",3/28/2025,Resubmittal Required
PPA25-0115,Planning Pre-Application,"13715 N BON VIEW AV, ONTARIO CA 91761",3/28/2025,Complete
25TMP-002671,Short Term Rental License,"1114 S MAGNOLIA AV, BLDG A, Ontario CA 91762",3/27/2025,
PSGP25-003,Sign Program,"535 N TURNER AV, ONTARIO CA 91761",3/27/2025,Under Review
PPA25-0114,Planning Pre-Application,"105 N EUCLID AV, ONTARIO CA 91762",3/26/2025,Complete
PPA25-0113,Planning Pre-Application,"535 N TURNER AV, ONTARIO CA 91761",3/26/2025,Complete
PPA25-0112,Planning Pre-Application,"1223 E CAROLINE CT, ONTARIO CA 91764",3/26/2025,Resubmittal Required
PPA25-0111,Planning Pre-Application,"213 E LA DENEY DR, BLDG A, ONTARIO CA 91764",3/26/2025,Resubmittal Required
PPA25-0110,Planning Pre-Application,"5691 E PHILADELPHIA ST, B, ONTARIO CA 91761",3/26/2025,Complete
PTUP25-021,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",3/25/2025,Approved
PTUP25-020,Temporary Use Permit,"418 N LEMON AV, ONTARIO CA 91764",3/25/2025,Approved
PHP-25-005,Historical Preservation,"127 E FOURTH ST, ONTARIO CA 91764",3/25/2025,Under Review
PSGN25-039,Sign Permit,"750 N ARCHIBALD AV, SUITE 1-E, ONTARIO CA 91764",3/25/2025,Active
PSGN25-038,Sign Permit,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",3/25/2025,Approved Final
PPA25-0109,Planning Pre-Application,"127 E FOURTH ST, Ontario CA 91764",3/25/2025,Resubmittal Required
PPA25-0108,Planning Pre-Application,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",3/25/2025,Resubmittal Required
PPA25-0107,Planning Pre-Application,"750 N ARCHIBALD AV, SUITE 1-E, ONTARIO CA 91764",3/25/2025,Complete
PPA25-0106,Planning Pre-Application,"127 E FOURTH ST, ONTARIO CA 91764",3/25/2025,Complete
PPA25-0105,Planning Pre-Application,"1129 E OLIVE CT, ONTARIO CA 91764",3/24/2025,Withdrawn
PPA25-0104,Planning Pre-Application,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",3/24/2025,Complete
PPA25-0103,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",3/22/2025,Complete
PPA25-0102,Planning Pre-Application,"127 E FOURTH ST, ONTARIO CA 91764",3/21/2025,Resubmittal Required
PTUP25-019,Temporary Use Permit,"2661 E GRAND PARK ST, ONTARIO CA 91762",3/20/2025,Approved
PTUP25-018,Temporary Use Permit,"215 E C ST, ONTARIO CA 91761",3/20/2025,Approved
PSGN25-037,Sign Permit,"1340 E FIFTH ST, BLDG 7, ONTARIO CA 91764",3/20/2025,Under Review
PSGN25-036,Sign Permit,"901 W FRANCIS ST, BLDG E, ONTARIO CA 91762",3/20/2025,Approved Final
PSGN25-035,Sign Permit,"2775 E PHILADELPHIA ST, ONTARIO CA 91761",3/20/2025,Approved Final
PPA25-0101,Planning Pre-Application,"1528 W HOLT BL, ONTARIO CA 91762",3/20/2025,Withdrawn
25TMP-002414,Planning Pre-Application,"2775 E PHILADELPHIA ST, ONTARIO CA 91761",3/19/2025,
PSGN25-034,Sign Permit,,3/18/2025,Approved Final
PSGN25-033,Sign Permit,"4105 E INLAND EMPIRE BL, Ontario CA 91764",3/18/2025,Approved Final
PPA25-0100,Planning Pre-Application,"2775 E PHILADELPHIA ST, ONTARIO CA 91761",3/18/2025,Complete
PPA25-0099,Planning Pre-Application,,3/18/2025,Complete
PPA25-0098,Planning Pre-Application,"1754 S EUCLID AV, ONTARIO CA 91762",3/18/2025,Resubmittal Required
PVAR25-001,Variance,"1656 S MAGNOLIA AV, ONTARIO CA 91762",3/14/2025,Scheduled for DAB Hearing
PMTT25-003,Parcel Tract Map,"1656 S MAGNOLIA AV, ONTARIO CA 91762",3/14/2025,Scheduled for DAB Hearing
PSGN25-032,Sign Permit,"1429 N EUCLID AV, ONTARIO CA 91762",3/14/2025,Approved Final
PSGN25-031,Sign Permit,"1848 S EUCLID AV, ONTARIO CA 91762",3/14/2025,Approved Final
PPA25-0097,Planning Pre-Application,"4105 E INLAND EMPIRE BL, Ontario CA 91764",3/14/2025,Complete
PVER25-018,Zoning Verification Letter,"701 S KETTERING DR, ONTARIO CA 91761",3/13/2025,Approved
PPA25-0096,Planning Pre-Application,"130 W G ST, ONTARIO CA 91762",3/13/2025,Complete
PPA25-0095,Planning Pre-Application,"701 S KETTERING DR, ONTARIO CA 91761",3/12/2025,Complete
PPA25-0094,Planning Pre-Application,"730 N MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",3/12/2025,Complete
PSGN25-030,Sign Permit,"4580 E ONTARIO MILLS PW, ONTARIO CA 91764",3/11/2025,Approved Final
PVER25-017,Zoning Verification Letter,"2260 S ARCHIBALD AV, SUITE 1-A, ONTARIO CA 91761",3/10/2025,Approved
PVER25-016,Zoning Verification Letter,"1920 S ROCHESTER AV, SUITE 1-101, ONTARIO CA 91761",3/10/2025,Approved
PVER25-015,Zoning Verification Letter,"3505 E FRANCIS ST, ONTARIO CA 91761",3/10/2025,Approved
PPA25-0093,Planning Pre-Application,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",3/10/2025,Resubmittal Required
PPA25-0092,Planning Pre-Application,"2260 S ARCHIBALD AV, SUITE 1-A, ONTARIO CA 91761",3/9/2025,Complete
PPA25-0091,Planning Pre-Application,"1920 S ROCHESTER AV, SUITE 1-101, ONTARIO CA 91761",3/9/2025,Complete
PPA25-0090,Planning Pre-Application,"4580 E ONTARIO MILLS PW, ONTARIO CA 91764",3/8/2025,Complete
PPA25-0089,Planning Pre-Application,"3505 E FRANCIS ST, ONTARIO CA 91761",3/7/2025,Complete
PPA25-0088,Planning Pre-Application,"0 S ARCHIBALD AV, ONTARIO CA 91761",3/6/2025,Withdrawn
PSGN25-029,Sign Permit,"2151 S HAVEN AV, SUITE 100, ONTARIO CA 91761",3/5/2025,Approved Final
PPA25-0087,Planning Pre-Application,"1656 S MAGNOLIA AV, ONTARIO CA 91762",3/5/2025,Complete
25TMP-001908,Planning Pre-Application,,3/4/2025,
PPA25-0086,Planning Pre-Application,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",3/4/2025,Resubmittal Required
PPA25-0085,Planning Pre-Application,"540 S HELLMAN PRIVADO, Ontario CA 91761",3/4/2025,Withdrawn
PSGN25-028,Sign Permit,"1724 S EUCLID AV, BLDG 3, ONTARIO CA 91762",3/3/2025,Approved Final
PPA25-0084,Planning Pre-Application,"2115 S SAN ANTONIO AV, ONTARIO CA 91762",3/3/2025,Withdrawn
PPA25-0083,Planning Pre-Application,"1848 S EUCLID AV, ONTARIO CA 91762",3/3/2025,Complete
PPA25-0082,Planning Pre-Application,"3611 E GUASTI RD, Ontario CA 91761",3/3/2025,Complete
PPA25-0081,Planning Pre-Application,"171 W GEYER CT, ONTARIO CA 91762",3/3/2025,Withdrawn
PHP-25-004,Historical Preservation,"425 W ARMSLEY SQ, ONTARIO CA 91762",2/28/2025,Out to Applicant
PSGN25-027,Sign Permit,,2/28/2025,Approved Final
PPA25-0080,Planning Pre-Application,"151 N MOUNTAIN AV, ONTARIO CA 91762",2/28/2025,Withdrawn
PPA25-0079,Planning Pre-Application,"425 W ARMSLEY SQ, ONTARIO CA 91762",2/28/2025,Complete
25TMP-001765,Planning Pre-Application,"1848 S EUCLID AV, ONTARIO CA 91762",2/27/2025,
PTUP25-017,Temporary Use Permit,"224 W CALIFORNIA ST, ONTARIO CA 91762",2/27/2025,Approved
PSGN25-026,Sign Permit,"1939 E FOURTH ST, ONTARIO CA 91764",2/27/2025,Approved Final
PPA25-0078,Planning Pre-Application,"921 E YALE ST, ONTARIO CA 91764",2/27/2025,Withdrawn
PPA25-0077,Planning Pre-Application,"14561 S HAVEN AV, ONTARIO CA 91762",2/27/2025,Resubmittal Required
25TMP-001740,Planning Pre-Application,"4150 E FOURTH ST, SUITE 2-E, ONTARIO CA 91764",2/26/2025,
PTUP25-016,Temporary Use Permit,"2560 S ARCHIBALD AV, BLDG 1, ONTARIO CA 91761",2/26/2025,Approved
PPRE25-001,Preliminary Review,"14717 S HAVEN AV, ONTARIO CA 91762",2/26/2025,Approved Final
PMTT25-002,Parcel Tract Map,"8485 E EDISON AV, ONTARIO CA 91710",2/26/2025,Under Review
PMTT25-001,Parcel Tract Map,"8295 E EDISON AV, ONTARIO CA 91710",2/26/2025,Under Review
PPA25-0076,Planning Pre-Application,"105 N EUCLID AV, ONTARIO CA 91762",2/26/2025,Resubmittal Required
PPA25-0075,Planning Pre-Application,"1939 E FOURTH ST, ONTARIO CA 91764",2/26/2025,Complete
PPA25-0074,Planning Pre-Application,"4150 E FOURTH ST, SUITE 2-F, ONTARIO CA 91764",2/26/2025,Withdrawn
PPA25-0073,Planning Pre-Application,"2560 S ARCHIBALD AV, BLDG 1, ONTARIO CA 91761",2/26/2025,Complete
PVER25-014,Zoning Verification Letter,"1390 E HOLT BL, ONTARIO CA 91761",2/25/2025,Approved
PVER25-013,Zoning Verification Letter,"1366 E HOLT BL, BLDG 1, ONTARIO CA 91761",2/25/2025,Approved
PSGN25-025,Sign Permit,"1849 E FOURTH ST, ONTARIO CA 91764",2/25/2025,Approved Final
PSGN25-024,Sign Permit,"1945 E RIVERSIDE DR, SUITE 1-1, ONTARIO CA 91761",2/25/2025,Approved Final
PAUP25-003,Administrative Use Permit,"200 N EUCLID AV, UNIT B, ONTARIO CA 91762",2/25/2025,Approved Final
PSTRP25-003,Short Term Rental License,"1337 N ISADORA WY, ONTARIO CA 91764",2/24/2025,Withdrawn
PPA25-0072,Planning Pre-Application,"14117 S GROVE AV, ONTARIO CA 91710",2/24/2025,Complete
PPA25-0071,Planning Pre-Application,"14117 S GROVE AV, ONTARIO CA 91710",2/24/2025,Complete
PPA25-0070,Planning Pre-Application,"1390 E HOLT BL, ONTARIO CA 91761",2/24/2025,Complete
PPA25-0069,Planning Pre-Application,"1366 E HOLT BL, BLDG 1, ONTARIO CA 91761",2/24/2025,Complete
PSGN25-023,Sign Permit,"2525 S ARCHIBALD AV, ONTARIO CA 91761",2/20/2025,Out to Applicant
PPA25-0068,Planning Pre-Application,"200 N EUCLID AV, UNIT B, ONTARIO CA 91762",2/20/2025,Complete
PPA25-0067,Planning Pre-Application,"2525 S ARCHIBALD AV, ONTARIO CA 91761",2/20/2025,Complete
PVER25-012,Zoning Verification Letter,"1512 E FIFTH ST, ONTARIO CA 91764",2/19/2025,Approved
PTUP25-015,Temporary Use Permit,"901 W FRANCIS ST, BLDG 1, ONTARIO CA 91762",2/19/2025,Approved
PSGN25-022,Sign Permit,"222 W G ST, ONTARIO CA 91762",2/19/2025,Approved Final
PPA25-0066,Planning Pre-Application,"1512 E FIFTH ST, ONTARIO CA 91764",2/19/2025,Complete
PPA25-0065,Planning Pre-Application,"2546 S CALAVERAS PL, ONTARIO CA 91761",2/19/2025,Withdrawn
PSGN25-021,Sign Permit,"815 W HOLT BL, SUITE 301-301, ONTARIO CA 91762",2/18/2025,Approved Final
PDA-25-003,Development Agreement,,2/18/2025,Under Review
25TMP-001364,Planning Pre-Application,,2/17/2025,
PPA25-0064,Planning Pre-Application,"222 W G ST, ONTARIO CA 91762",2/17/2025,Complete
PPA25-0063,Planning Pre-Application,"1054 E PRINCETON ST, ONTARIO CA 91764",2/17/2025,Withdrawn
PPA25-0062,Planning Pre-Application,"1054 E PRINCETON ST, ONTARIO CA 91764",2/17/2025,Withdrawn
PPA25-0061,Planning Pre-Application,"1054 E PRINCETON ST, ONTARIO CA 91764",2/17/2025,Withdrawn
PPA25-0060,Planning Pre-Application,"1054 E PRINCETON ST, ONTARIO CA 91764",2/17/2025,Withdrawn
PSTRP25-002,Short Term Rental License,"1337 N ISADORA WY, Ontario CA 91764",2/14/2025,Issued
PSGN25-020,Sign Permit,"1849 E FOURTH ST, ONTARIO CA 91764",2/13/2025,Approved Final
PPA25-0059,Planning Pre-Application,"4265 E GUASTI RD, ONTARIO CA 91761",2/13/2025,Resubmittal Required
PVER25-011,Zoning Verification Letter,"820 S ETIWANDA AV, SUITE 1-A, ONTARIO CA 91761",2/12/2025,Approved
PPA25-0058,Planning Pre-Application,"748 E HOLT BL, ONTARIO CA 91761",2/12/2025,Withdrawn
PPA25-0057,Planning Pre-Application,"642 W H ST, ONTARIO CA 91762",2/12/2025,Resubmittal Required
PPA25-0056,Planning Pre-Application,"1849 E FOURTH ST, ONTARIO CA 91764",2/12/2025,Complete
PPA25-0055,Planning Pre-Application,"1028 W VESTA ST, ONTARIO CA 91762",2/12/2025,Withdrawn
PPA25-0054,Planning Pre-Application,"815 W HOLT BL, SUITE 301-301, ONTARIO CA 91762",2/12/2025,Complete
PTUP25-014,Temporary Use Permit,"13813 S EUCLID AV, ONTARIO CA 91761",2/11/2025,Approved
PMISC-00008,Planning Miscellaneous,"1301 W CEDAR HAVEN PASEO, ONTARIO CA 91762",2/11/2025,App Submitted
PDA-25-002,Development Agreement,"0 S WALKER AV, Ontario CA 91710",2/11/2025,Under Review
PPA25-0053,Planning Pre-Application,"820 S ETIWANDA AV, SUITE 1-A, ONTARIO CA 91761",2/11/2025,Complete
PPA25-0052,Planning Pre-Application,"1301 W CEDAR HAVEN PASEO, ONTARIO CA 91762",2/10/2025,Complete
PPA25-0051,Planning Pre-Application,"0 S WALKER AV, Ontario CA 91710",2/10/2025,Complete
PPA25-0050,Planning Pre-Application,"768 W H ST, ONTARIO CA 91762",2/10/2025,Withdrawn
PPA25-0049,Planning Pre-Application,"13813 S EUCLID AV, ONTARIO CA 91761",2/7/2025,Complete
PTUP25-013,Temporary Use Permit,"2556 S EUCLID AV, ONTARIO CA 91762",2/6/2025,Withdrawn
PTUP25-012,Temporary Use Permit,"225 S EUCLID AV, ONTARIO CA 91761",2/6/2025,Approved
PTUP25-011,Temporary Use Permit,"950 W D ST, BLDG 1, ONTARIO CA 91762",2/6/2025,Approved
PSGP25-002,Sign Program,"4900 S SULTANA AV, ONTARIO CA 91762",2/6/2025,Approved Final
PDEV25-005,Development Plan,"8551 E EUCALYPTUS AV, ONTARIO CA 91762",2/6/2025,Under Review
PCUP25-005,Conditional Use Permit,"2421 S VINEYARD AV, Ontario CA 91761",2/6/2025,Under Review
PCUP25-004,Conditional Use Permit,"8551 E EUCALYPTUS AV, ONTARIO CA 91762",2/6/2025,Under Review
PSGN25-019,Sign Permit,"1630 E FOURTH ST, SUITE G, ONTARIO CA 91764",2/5/2025,Approved Final
PPA25-0048,Planning Pre-Application,"1724 S EUCLID AV, BLDG 3, ONTARIO CA 91762",2/5/2025,Complete
PPA25-0047,Planning Pre-Application,"8551 E EUCALYPTUS AV, ONTARIO CA 91762",2/5/2025,Complete
PSTRP25-001,Short Term Rental License,"1711 E HAWTHORNE ST, Ontario CA 91764",2/5/2025,Under Review
PVER25-010,Zoning Verification Letter,"1932 S BON VIEW AV, ONTARIO CA 91761",2/4/2025,Approved
PSGN25-018,Sign Permit,"4170 E ONTARIO RANCH RD, ONTARIO CA 91762",2/4/2025,Under Review
PPA25-0046,Planning Pre-Application,"105 N EUCLID AV, ONTARIO CA 91762",2/4/2025,Resubmittal Required
PPA25-0045,Planning Pre-Application,"2556 S EUCLID AV, ONTARIO CA 91762",2/4/2025,Resubmittal Required
PPA25-0044,Planning Pre-Application,"1932 S BON VIEW AV, ONTARIO CA 91761",2/4/2025,Complete
PPA25-0043,Planning Pre-Application,"2556 S EUCLID AV, ONTARIO CA 91762",1/31/2025,Complete
25TMP-000881,Planning Pre-Application,,1/30/2025,
PPA25-0042,Planning Pre-Application,"4755 S MAE WY, ONTARIO CA 91762",1/30/2025,Withdrawn
25TMP-000837,Planning Pre-Application,,1/29/2025,
PVER25-009,Zoning Verification Letter,"1150 W BROOKS ST, ONTARIO CA 91762",1/29/2025,Approved
PSGN25-017,Sign Permit,"4821 E MILLS CI N, BLDG 1, Ontario CA 91764",1/29/2025,Approved Final
PSGN25-016,Sign Permit,"2850 E INLAND EMPIRE BL, SUITE 1-B, ONTARIO CA 91764",1/29/2025,Approved Final
PSGN25-015,Sign Permit,"760 S ROCHESTER AV, SUITE A, ONTARIO CA 91761",1/29/2025,Approved Final
PDEV25-004,Development Plan,"0 S WINEVILLE AV, ONTARIO CA 91761",1/29/2025,Withdrawn
PPA25-0041,Planning Pre-Application,"200 N EUCLID AV, ONTARIO CA 91762",1/29/2025,Resubmittal Required
